"track_id","track_name","track_number","track_popularity","explicit","artist_name","artist_popularity","artist_followers","artist_genres","album_id","album_name","album_release_date","album_total_tracks","album_type","track_duration_min"
"1zv3WFUbZ5vPxFq9I2jAU1","We Found Love","3","61","FALSE","Rihanna","90","68997177","pop, r&b","16ySsalaP2FiKVDlYCWnYh","Talk That Talk (Explicit)","2011-01-01","11","album","3.58"
"3w8qTyOMX9vmm4aKYVl4uS","Mahrex of Isoko","4","21","TRUE","Mahrex","9","127","alté","0ui6M2D9ZHDIxuXruIQGra","Blackowl","2023-09-29","4","single","3.12"
"3NO0uDaqtPzSSU9GAj39hC","Sleepless (feat. GoldFord)","1","48","TRUE","Restricted","60","157326","hard techno, hypertechno","3748XL91ovL1Tpni1BWAor","Sleepless (feat. GoldFord)","2023-07-21","1","single","2.29"
"1fBl642IhJOE5U319Gy2Go","Animal","3","72","FALSE","Neon Trees","64","1284368","N/A","7xpjpdislqMXOCw5xsDt4g","Habits","2010-01-01","8","album","3.53"
"78aURwMzynDMan7DfSWwsI","Loft Music","8","50","TRUE","The Weeknd","94","112995439","r&b pop, alternative r&b, hip hop, synthpop","2XGEyGU76kj55OdHWynX0S","Trilogy","2012-11-13","30","album","6.05"
"5Y6nVaayzitvsD5F7nr3DV","West Coast","5","82","FALSE","Lana Del Rey","88","51798111","alternative pop, indie pop","1ORxRsK3MrSLvh7VQTF01F","Ultraviolence (Deluxe)","2014-01-01","14","album","4.27"
"6IadkySzhPNWU0ZrXhVimN","In Ash","2","42","TRUE","Hurricane on Saturn","39","4952","N/A","7LCWMz5qhflYOFta2pkrBE","Φnx","2023-02-24","11","album","4.27"
"19RybK6XDbAVpcdxSbZL1o","Apple","11","76","FALSE","Charli xcx","82","6322030","hyperpop, art pop","2lIZef4lzdvZkiiCzvPKj7","BRAT","2024-06-07","15","album","2.52"
"3WWAvWDBQANpJeNbvVbjMg","Heartbeat","6","1","TRUE","Childish Gambino","78","14561716","N/A","32KdoFFhgjCLdU0DWL71tx","Camp","2011-11-15","13","album","4.49"
"3S8F1vuqoL7pxHb395XJ7q","Getting Older (Time Is Ticking)","1","22","FALSE","J 2 5","7","34","N/A","4g77ee5w9A2mE2gd8pTQcH","Getting Older (Time Is Ticking)","2024-11-25","1","single","2.89"
